prod_taz,attr_taz,purp_acces,trips
     140,     874,   6.00000000000000,   1.04166666666667
     147,     700,   1.00000000000000,   3.04885287448312
     147,    1056,   1.00000000000000,   2.89610389610389
     169,     918,   6.00000000000000,   6.53650793650793
     176,     765,   1.00000000000000,   0.97568389057751
     176,    2017,   6.00000000000000,   0.97568389057751
     181,     714,   1.00000000000000,   0.97568389057751
     189,     740,   5.00000000000000,   9.59243697478991
     194,     428,   6.00000000000000,   6.53650793650793
     194,    2163,   4.00000000000000,   2.08333333333333
     198,     731,   6.00000000000000,   1.04166666666667
     234,     738,   5.00000000000000,   1.95136778115501
     234,     751,   5.00000000000000,   3.57450076804916
     252,     252,  11.00000000000000,   4.34415584415583
     252,     759,  11.00000000000000,   1.04166666666667
     257,     711,   5.00000000000000,   2.63359788359788
     257,     770,   1.00000000000000,   1.43406593406593
     257,     839,   6.00000000000000,   1.50793650793651
     270,     738,   5.00000000000000,   3.57450076804916
     272,     703,   1.00000000000000,   0.97568389057751
     272,     706,   5.00000000000000,   1.95136778115501
     276,     252,   6.00000000000000,   3.19747899159664
     285,     408,   6.00000000000000,   2.89610389610389
     285,     663,   6.00000000000000,   2.63359788359788
     285,    2200,   6.00000000000000,   1.50793650793651
     289,     723,   6.00000000000000,   3.19747899159664
     290,     318,   1.00000000000000,   4.34415584415583
     293,     709,   6.00000000000000,   3.57450076804916
     313,     767,   1.00000000000000,   4.00700280112044
     313,    2166,   1.00000000000000,   0.97568389057751
     319,     613,  11.00000000000000,   7.26984126984127
     319,     715,  11.00000000000000,   4.34415584415583
     320,     425,   6.00000000000000,   2.38300051203277
     321,     369,   4.00000000000000,   0.97568389057751
     322,     170,  11.00000000000000,   7.26984126984127
     322,     843,   6.00000000000000,   1.33566760037348
     326,     429,   1.00000000000000,   4.35767195767195
     357,     663,   6.00000000000000,   4.79621848739496
     391,     770,   1.00000000000000,   4.00700280112044
     393,     736,   5.00000000000000,   2.15873015873016
     409,     170,   1.00000000000000,   0.97568389057751
     409,     729,   6.00000000000000,   4.00700280112044
     409,     767,   6.00000000000000,   4.79621848739496
     409,     839,   6.00000000000000,   3.57450076804916
     410,     684,   1.00000000000000,   7.14900153609832
     410,     714,   6.00000000000000,   4.68452380952381
     410,     976,  11.00000000000000,   2.86813186813187
     411,     410,   1.00000000000000,   2.08571428571429
     420,    1957,   6.00000000000000,   0.69444444444444
     421,     663,   6.00000000000000,   3.57450076804916
     425,     663,  11.00000000000000,   3.57450076804916
     425,     709,  11.00000000000000,   4.34415584415583
     426,     711,   5.00000000000000,   2.15873015873016
     426,     766,   1.00000000000000,  10.90476190476190
     428,     736,  11.00000000000000,   2.89610389610389
     428,     739,   1.00000000000000,   0.97568389057751
     429,     765,   4.00000000000000,   7.14900153609832
     429,    1415,   1.00000000000000,   0.69444444444444
     431,     749,   5.00000000000000,   9.94047619047619
     444,     661,   6.00000000000000,   1.04166666666667
     457,     699,   1.00000000000000,   5.26719576719577
     457,     749,  15.00000000000000,   9.36904761904763
     462,     663,   6.00000000000000,   1.04166666666667
     464,     766,   1.00000000000000,   2.26190476190476
     479,     709,   6.00000000000000,  74.21428571428550
     479,     737,   1.00000000000000,   2.63359788359788
     480,     179,   1.00000000000000,   1.04166666666667
     489,     854,  11.00000000000000,   1.04166666666667
     496,     759,   5.00000000000000,   2.15873015873016
     500,     749,   1.00000000000000,   3.57450076804916
     510,    2138,   6.00000000000000,   4.79621848739496
     512,     770,   6.00000000000000,   4.34415584415583
     512,    1071,   6.00000000000000,   1.00175070028011
     517,     429,   1.00000000000000,   4.00700280112044
     521,     738,   5.00000000000000,   7.14900153609832
     534,     463,   6.00000000000000,   1.50793650793651
     534,     650,   1.00000000000000,   2.00350140056022
     536,     738,   5.00000000000000,   7.14900153609832
     591,    2166,   6.00000000000000,   1.04166666666667
     593,    2010,  13.00000000000000,   5.26719576719577
     593,    2230,   1.00000000000000,   3.57450076804916
     595,     417,   1.00000000000000,   0.97568389057751
     595,     661,   6.00000000000000,   4.34415584415583
     595,     766,   6.00000000000000,   6.10476190476190
     595,     817,   1.00000000000000,   4.34415584415583
     596,     421,   1.00000000000000,   1.43406593406593
     601,    1948,   6.00000000000000,   3.19747899159664
     603,     709,   6.00000000000000,  13.07301587301590
     605,     413,   4.00000000000000,   0.97568389057751
     606,     709,   6.00000000000000,   6.53650793650793
     607,    1115,   6.00000000000000,   1.75573192239859
     608,     749,   6.00000000000000,   4.34415584415583
     608,     885,   6.00000000000000,   0.65045592705167
     609,     410,   1.00000000000000,   4.34415584415583
     612,     714,   6.00000000000000,   2.63359788359788
     613,     688,   6.00000000000000,   0.97568389057751
